code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name,full_name_1
220042001682,laptop,19990000, Laptop ,asus,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,15.6,full hd 1920 x 1080 oled,1 x usb 3.2,2 x usb 2.0,dài 359 mm  rộng 235 mm  dày 17.9 mm  nặng 1.8 kg,2021,2021,3.6, laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 full hd 1920 x 1080 oled 1 x usb 3.2 2 x usb 2.0 dài 359 mm  rộng 235 mm  dày 17.9 mm  nặng 1.8 kg, laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 full hd 1920 x 1080 oled 1 x usb 3.2 2 x usb 2.0 dài 359 mm  rộng 235 mm  dày 17.9 mm  nặng 1.8 kg
220042001765,laptop,19990000, Laptop ,dell,i5,1135g7,2.4ghz,4 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.7 kg,2021,2021,4.0," laptop dell i5 1135g7 2.4ghz 4 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.7 kg"," laptop dell i5 1135g7 2.4ghz 4 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.7 kg"
220042001882,laptop,19990000, Laptop ,asus,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ nhựa  nắp lưng bằng kim loại,Dài 323.4 mm - Rộng 215.6 mm - Dày 19.2 mm - Nặng 1.45 kg,Dài 323.4 mm - Rộng 215.6 mm - Dày 19.2 mm - Nặng 1.45 kg,0.0," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa  nắp lưng bằng kim loại"," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa  nắp lưng bằng kim loại"
220042001726,laptop,19990000, Laptop ,msi,ryzen 7,5700u,1.8ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card tích hợp,radeon,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,5.0," laptop msi ryzen 7 5700u 1.8ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp radeon 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi nắp lưng và chiếu nghỉ tay bằng kim loại"," laptop msi ryzen 7 5700u 1.8ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp radeon 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi nắp lưng và chiếu nghỉ tay bằng kim loại"
220042001812,laptop,19990000, Laptop ,acer,ryzen 5,5500u,2.1ghz,8 gb,"256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card rời,gtx 1650 4gb,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ nhựa,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.1 kg,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.1 kg,0.0," laptop acer ryzen 5 5500u 2.1ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời gtx 1650 4gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa"," laptop acer ryzen 5 5500u 2.1ghz 8 gb 256 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời gtx 1650 4gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa"
220042001881,laptop,19890000, Laptop ,asus,i5,1135g7,2.4ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ nhựa  nắp lưng bằng kim loại,Dài 323.4 mm - Rộng 215.6 mm - Dày 19.2 mm - Nặng 1.45 kg,Dài 323.4 mm - Rộng 215.6 mm - Dày 19.2 mm - Nặng 1.45 kg,0.0," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa  nắp lưng bằng kim loại"," laptop asus i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa  nắp lưng bằng kim loại"
220042001817,laptop,19790000, Laptop ,hp,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,2x superspeed usb a,hdmi,dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg,2021,2021,0.0, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2x superspeed usb a hdmi dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg, laptop hp i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2x superspeed usb a hdmi dài 325 mm  rộng 216.6 mm  dày 17 mm  nặng 1.41 kg
220042001867,laptop,19690000, Laptop ,hp,i7,1165g7,2.8ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,15.6,hd 1366 x 768,2 x usb 3.1,hdmi,dài 358.5 mm  rộng 242 mm  dày 18 mm  nặng 1.592 kg,2021,2021,0.0, laptop hp i7 1165g7 2.8ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 hd 1366 x 768 2 x usb 3.1 hdmi dài 358.5 mm  rộng 242 mm  dày 18 mm  nặng 1.592 kg, laptop hp i7 1165g7 2.8ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 hd 1366 x 768 2 x usb 3.1 hdmi dài 358.5 mm  rộng 242 mm  dày 18 mm  nặng 1.592 kg
220042001831,laptop,19490000, Laptop ,dell,ryzen 5,3450u,2.1ghz,8 gb,256 gb ssd nvme pcie,card tích hợp,radeon,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.81 kg,2021,2021,0.0, laptop dell ryzen 5 3450u 2.1ghz 8 gb 256 gb ssd nvme pcie card tích hợp radeon 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.81 kg, laptop dell ryzen 5 3450u 2.1ghz 8 gb 256 gb ssd nvme pcie card tích hợp radeon 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 358.5 mm  rộng 235.5 mm  dày 18.9 mm  nặng 1.81 kg
220042001594,laptop,18990000, Laptop ,msi,i5,1155g7,2.5ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ kim loại,Dài 356.8 mm - Rộng 233.75 mm - Dày 16.9 mm - Nặng 1.6 kg,Dài 356.8 mm - Rộng 233.75 mm - Dày 16.9 mm - Nặng 1.6 kg,4.2," laptop msi i5 1155g7 2.5ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ kim loại"," laptop msi i5 1155g7 2.5ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ kim loại"
