_id,brand,category,code,cpu1,cpu2,cpu3,design,disk,full_name,img,name,price,ram,rating,release,screen1,screen2,size,vga1,vga2
622a1d6534eebec0045fe320, Asus , Laptop ,220042001795,i3,1125G4,2GHz,Dài 324 mm - Rộng 215 mm - Dày 17.9 mm - Nặng 1.4 kg,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Asus  i3 1125G4 2GHz 8 GB Card tích hợp Intel UHD 14"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/266829/Slider/vi-vn-asus-vivobook-a415ea-i3-eb1748w-3.jpg,Laptop,15990000,8 GB,3.7,2021,"14""",Full HD (1920 x 1080),2021,Card tích hợp,Intel UHD
622a1d6534eebec0045fe332, Dell , Laptop ,220042001899,i7,11800H,2.30 GHz,Vỏ kim loại,"1TB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB M.2 2280 PCIe Gen4 x4 NVMe / 1TB M.2 2280 PCIe Gen3 x4 NVMe","Laptop  Dell  i7 11800H 2.30 GHz 32 GB Card rời RTX 3060 6GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/86/227522/chuot-gaming-rapoo-vt200-den-01-600x600.jpg,Laptop,61990000,32 GB,0.0,Dài 356.2 mm - Rộng 272.5 mm - Dày 19.2 mm - Nặng 2.69 kg,"15.6""",Full HD (1920 x 1080),Dài 356.2 mm - Rộng 272.5 mm - Dày 19.2 mm - Nặng 2.69 kg,Card rời,RTX 3060 6GB
622a1d6534eebec0045fe338, Acer , Laptop ,220042001573,i7,11800H,2.30 GHz,Vỏ kim loại,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Acer  i7 11800H 2.30 GHz 16 GB Card rời RTX 3070 8GB 15.6"" QHD (2560 x 1440)",https://cdn.tgdd.vn/Products/Images/44/250976/Slider/vi-vn-acer-predator-triton-300-pt315-53-71dj-i7-3.jpg,Laptop,50990000,16 GB,0.0,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,"15.6""",QHD (2560 x 1440),Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Card rời,RTX 3070 8GB
622a1d6534eebec0045fe344, MSI , Laptop ,220042001475,i7,1185G7,3GHz,Vỏ kim loại nguyên khối,1 TB SSD NVMe PCIe Gen4x4,"Laptop  MSI  i7 1185G7 3GHz 16 GB Card tích hợp Intel Iris Xe 13.4"" Full HD+ (1920 x 1200)",https://cdn.tgdd.vn/Products/Images/44/246951/Slider/vi-vn-msi-summit-e13-flip-i7-211vn-3.jpg,Laptop,39990000,16 GB,0.0,Dài 300.2 mm - Rộng 222.25 mm - Dày 14.9 mm - Nặng 1.35 kg,"13.4""",Full HD+ (1920 x 1200),Dài 300.2 mm - Rộng 222.25 mm - Dày 14.9 mm - Nặng 1.35 kg,Card tích hợp,Intel Iris Xe
622a1d6534eebec0045fe346, Acer , Laptop ,220042001764,Ryzen 7,5800H,3.2GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)","Laptop  Acer  Ryzen 7 5800H 3.2GHz 8 GB Card rời RTX 3070 8GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/265461/Slider/vi-vn-acer-nitro-5-an515-45-r9sc-r7-nhqbrsv001-3.jpg,Laptop,39990000,8 GB,0.0,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,"15.6""",Full HD (1920 x 1080),Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Card rời,RTX 3070 8GB
622a1d6534eebec0045fe34c, Dell , Laptop ,220042001896,i7,11800H,2.30 GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Dell  i7 11800H 2.30 GHz 8 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)",//cdn.tgdd.vn/Products/Images/44/271540/dell-gaming-g15-5511-i7-p105f006agr-3-1.jpg,Laptop,33990000,8 GB,0.0,Dài 357.26 mm - Rộng 272.11 mm - Dày 25.33 mm - Nặng 2.81 kg,"15.6""",Full HD (1920 x 1080),Dài 357.26 mm - Rộng 272.11 mm - Dày 25.33 mm - Nặng 2.81 kg,Card rời,RTX 3050 4GB
622a1d6534eebec0045fe353, Dell , Laptop ,220042001457,i7,10750H,2.6GHz,Vỏ nhựa,512 GB SSD NVMe PCIe,"Laptop  Dell  i7 10750H 2.6GHz 16 GB Card rời GTX 1660Ti 6GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/244385/Slider/vi-vn-dell-g3-15-i7-p89f002bwh-2.jpg,Laptop,31990000,16 GB,3.0,Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,"15.6""",Full HD (1920 x 1080),Dài 364.46 mm - Rộng 254 mm - Dày 30.96 mm - Nặng 2.58 kg,Card rời,GTX 1660Ti 6GB
622a1d6534eebec0045fe373, Dell , Laptop ,220042001701,Ryzen 5,5600H,3.3GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))","Laptop  Dell  Ryzen 5 5600H 3.3GHz 16 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/260171/Slider/vi-vn-dell-gaming-g15-5515-r5-p105f004dgr-3.jpg,Laptop,28990000,16 GB,5.0,Dài 357.26 mm - Rộng 272.11 mm - Dày 26.9 mm - Nặng 2.8 kg,"15.6""",Full HD (1920 x 1080),Dài 357.26 mm - Rộng 272.11 mm - Dày 26.9 mm - Nặng 2.8 kg,Card rời,RTX 3050 4GB
622a1d6534eebec0045fe394, GIGABYTE , Laptop ,220042001614,i5,11400H,2.7GHz,Vỏ nhựa,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  GIGABYTE  i5 11400H 2.7GHz 16 GB Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/252286/Slider/vi-vn-gigabyte-g5-i5-51s1121sh-3.jpg,Laptop,26990000,16 GB,2.0,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,"15.6""",Full HD (1920 x 1080),Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Card rời,RTX 3050 4GB
622a1d6534eebec0045fe3a5, Acer , Laptop ,220042001751,i5,1135G7,2.4GHz,Dài 363 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 1.8 kg,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)","Laptop  Acer  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080)",https://cdn.tgdd.vn/Products/Images/44/265012/Slider/vi-vn-acer-travelmate-tmp215-53-50cp-i5-nxvprsv01y-3.jpg,Laptop,23290000,8 GB,0.0,2021,"15.6""",Full HD (1920 x 1080),2021,Card tích hợp,Intel Iris Xe
